"X","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
59133,52167,"Female","Loyal Customer",36,"Business travel","Business",509,3,3,3,3,2,5,4,5,5,5,5,4,5,1,0,0,"satisfied"
52131,52133,"Male","Loyal Customer",52,"Business travel","Business",3356,4,4,5,4,5,5,4,4,4,4,4,3,4,4,102,94,"satisfied"
96848,12021,"Male","Loyal Customer",37,"Business travel","Eco",376,5,4,2,4,5,5,5,5,3,1,4,5,1,5,0,0,"satisfied"
14182,2112,"Female","Loyal Customer",69,"Personal Travel","Eco Plus",812,4,3,5,3,4,1,1,5,5,5,5,2,5,3,34,31,"neutral or dissatisfied"
15179,8104,"Female","Loyal Customer",55,"Business travel","Business",530,1,1,3,1,5,4,5,5,5,5,5,5,5,4,0,0,"satisfied"
27167,111346,"Male","disloyal Customer",25,"Business travel","Business",777,2,3,2,3,5,2,5,5,1,4,3,2,3,5,76,75,"neutral or dissatisfied"
89708,120601,"Female","Loyal Customer",12,"Personal Travel","Eco",980,1,2,0,4,3,0,3,3,2,2,4,2,3,3,0,0,"neutral or dissatisfied"
9096,12839,"Male","Loyal Customer",60,"Personal Travel","Eco",1041,5,5,5,3,3,5,3,3,5,2,5,3,5,3,0,0,"satisfied"
30537,69233,"Female","Loyal Customer",41,"Business travel","Business",733,2,2,2,2,5,5,5,2,2,2,2,4,2,5,0,3,"satisfied"
56218,75018,"Female","Loyal Customer",44,"Business travel","Business",2119,5,5,5,5,5,4,4,3,3,4,3,5,3,5,0,0,"satisfied"
94516,14191,"Male","disloyal Customer",12,"Business travel","Eco",714,3,4,4,3,4,1,5,3,3,4,3,5,2,5,193,189,"neutral or dissatisfied"
7988,27436,"Male","Loyal Customer",43,"Business travel","Business",937,4,4,4,4,2,4,2,4,4,4,4,3,4,5,0,0,"satisfied"
13535,122734,"Female","disloyal Customer",14,"Business travel","Eco",651,3,0,3,3,4,3,4,4,1,2,3,2,4,4,96,92,"neutral or dissatisfied"
90076,19750,"Female","Loyal Customer",36,"Business travel","Eco",462,4,4,4,4,4,4,4,4,1,2,4,1,2,4,48,44,"satisfied"
6215,33608,"Female","Loyal Customer",27,"Business travel","Business",399,2,2,2,2,2,1,2,2,1,2,2,1,3,2,16,19,"neutral or dissatisfied"
83518,90465,"Male","Loyal Customer",34,"Business travel","Business",1542,4,4,4,4,4,4,4,4,4,4,4,5,4,3,0,0,"satisfied"
29393,39073,"Male","Loyal Customer",30,"Business travel","Business",2474,4,4,4,4,4,4,4,4,4,4,5,5,4,4,0,0,"satisfied"
53240,117330,"Female","Loyal Customer",48,"Business travel","Business",393,1,1,1,1,4,5,5,2,2,3,2,3,2,3,0,0,"satisfied"
28824,129429,"Female","disloyal Customer",46,"Business travel","Eco",414,1,4,1,3,2,1,2,2,1,4,4,4,4,2,0,0,"neutral or dissatisfied"
40,64138,"Male","Loyal Customer",39,"Business travel","Business",1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,"satisfied"
14425,119017,"Female","Loyal Customer",14,"Personal Travel","Business",1460,5,5,5,1,4,5,4,4,5,2,5,4,5,4,0,19,"satisfied"
72819,105663,"Female","Loyal Customer",10,"Business travel","Business",1586,2,5,5,5,2,2,2,2,3,2,3,2,3,2,0,24,"neutral or dissatisfied"
51655,57236,"Male","Loyal Customer",43,"Business travel","Business",3404,2,2,2,2,4,4,5,4,4,4,4,5,4,5,0,2,"satisfied"
94037,96793,"Female","Loyal Customer",56,"Business travel","Business",781,2,2,3,2,5,4,5,5,5,5,5,5,5,4,0,0,"satisfied"
58526,17901,"Male","Loyal Customer",66,"Personal Travel","Business",789,3,4,3,4,3,4,5,3,3,3,3,3,3,4,15,2,"neutral or dissatisfied"
77008,81314,"Male","Loyal Customer",27,"Business travel","Business",1611,3,3,3,3,5,5,5,5,3,5,5,3,5,5,0,0,"satisfied"
43041,63941,"Female","Loyal Customer",48,"Personal Travel","Eco",1192,2,4,2,2,2,5,5,2,2,2,2,3,2,5,0,0,"neutral or dissatisfied"
77836,44497,"Female","Loyal Customer",51,"Business travel","Eco",411,2,1,1,1,3,2,3,2,2,2,2,3,2,2,0,0,"satisfied"
6133,116984,"Male","Loyal Customer",39,"Business travel","Business",2483,1,1,1,1,4,5,5,5,5,5,5,3,5,4,0,0,"satisfied"
33522,103698,"Male","Loyal Customer",67,"Business travel","Business",1559,2,2,2,2,5,3,4,5,5,5,5,4,5,2,0,0,"satisfied"
21811,19659,"Male","Loyal Customer",38,"Business travel","Business",3053,1,1,1,1,4,5,2,4,4,4,4,4,4,2,18,0,"satisfied"
39894,8841,"Male","Loyal Customer",66,"Personal Travel","Eco Plus",522,1,5,1,3,3,1,3,3,4,2,5,3,5,3,0,0,"neutral or dissatisfied"
9639,37867,"Female","Loyal Customer",42,"Business travel","Eco",937,3,2,2,2,3,4,4,3,3,3,3,1,3,3,0,0,"neutral or dissatisfied"
85277,72410,"Male","disloyal Customer",35,"Business travel","Business",1121,2,2,2,4,4,2,4,4,5,5,5,5,4,4,34,37,"neutral or dissatisfied"
9325,34902,"Female","disloyal Customer",22,"Business travel","Eco",187,1,5,1,4,3,1,3,3,4,2,4,1,5,3,0,0,"neutral or dissatisfied"
26509,53229,"Male","disloyal Customer",40,"Personal Travel","Eco",612,2,3,2,3,1,2,1,1,2,1,1,1,3,1,4,0,"neutral or dissatisfied"
20959,16555,"Male","Loyal Customer",32,"Business travel","Eco",1092,0,0,0,3,1,0,1,1,3,1,1,1,2,1,0,0,"satisfied"
14402,11273,"Female","Loyal Customer",32,"Personal Travel","Eco",667,3,5,3,4,1,3,1,1,4,4,3,5,4,1,1,0,"neutral or dissatisfied"
64501,4188,"Female","disloyal Customer",38,"Business travel","Business",431,2,1,1,4,5,1,5,5,5,4,5,4,4,5,0,0,"neutral or dissatisfied"
71502,23716,"Male","Loyal Customer",15,"Personal Travel","Eco",251,1,5,1,3,1,1,1,1,2,1,5,4,5,1,7,0,"neutral or dissatisfied"
45220,2424,"Male","Loyal Customer",70,"Personal Travel","Eco",767,2,4,2,4,5,2,5,5,5,5,5,3,4,5,68,98,"neutral or dissatisfied"
94334,20571,"Male","disloyal Customer",38,"Business travel","Eco",165,1,4,1,4,3,1,5,3,2,5,3,1,4,3,0,0,"neutral or dissatisfied"
92371,64109,"Female","Loyal Customer",46,"Business travel","Business",2288,5,5,3,5,3,3,4,5,5,5,5,4,5,3,0,0,"satisfied"
77584,111251,"Female","Loyal Customer",46,"Business travel","Business",1972,1,1,1,1,3,5,4,4,4,4,4,4,4,3,14,0,"satisfied"
80685,39127,"Male","disloyal Customer",27,"Business travel","Business",228,5,5,5,4,4,5,5,4,5,2,5,5,2,4,0,2,"satisfied"
70562,83230,"Female","disloyal Customer",22,"Business travel","Eco",1979,2,2,2,4,5,2,5,5,5,5,4,4,4,5,0,0,"neutral or dissatisfied"
32605,55591,"Male","disloyal Customer",42,"Business travel","Business",419,2,2,2,5,4,2,4,4,3,5,5,3,5,4,0,0,"neutral or dissatisfied"
16151,92844,"Female","Loyal Customer",40,"Personal Travel","Eco",1587,3,4,3,5,1,3,1,1,5,2,5,3,5,1,0,6,"neutral or dissatisfied"
25558,17293,"Female","Loyal Customer",25,"Business travel","Eco",403,0,3,0,4,3,0,3,3,2,5,5,3,2,3,0,0,"satisfied"
14214,54630,"Female","disloyal Customer",27,"Business travel","Eco",965,2,2,2,1,4,2,1,4,5,4,5,2,2,4,10,2,"neutral or dissatisfied"
14286,19129,"Female","Loyal Customer",26,"Personal Travel","Eco",323,1,4,1,2,4,1,4,4,3,5,2,3,2,4,15,0,"neutral or dissatisfied"
23193,75402,"Male","Loyal Customer",42,"Business travel","Business",2267,1,1,1,1,2,3,5,3,3,3,3,5,3,5,0,0,"satisfied"
90093,51827,"Female","disloyal Customer",23,"Business travel","Eco Plus",370,0,0,0,1,5,0,2,5,2,4,3,4,4,5,0,0,"satisfied"
34975,53224,"Male","Loyal Customer",47,"Personal Travel","Eco",589,4,4,4,1,1,4,1,1,5,2,5,4,5,1,0,0,"satisfied"
14490,43460,"Male","Loyal Customer",22,"Business travel","Business",2561,5,5,5,5,4,4,4,4,4,2,2,3,1,4,0,0,"satisfied"
82948,102242,"Female","disloyal Customer",20,"Business travel","Business",414,4,0,5,5,3,5,3,3,3,3,5,4,5,3,0,0,"satisfied"
77583,32552,"Male","Loyal Customer",38,"Business travel","Business",101,5,5,5,5,4,5,5,5,5,5,4,4,5,2,0,0,"satisfied"
40502,5233,"Male","Loyal Customer",41,"Business travel","Eco",295,3,5,5,5,3,3,3,3,4,3,1,4,2,3,7,13,"neutral or dissatisfied"
34723,2534,"Male","disloyal Customer",37,"Business travel","Business",280,3,3,3,3,5,3,5,5,3,2,4,5,5,5,0,1,"neutral or dissatisfied"
103661,88205,"Male","Loyal Customer",38,"Business travel","Business",271,1,1,1,1,3,5,4,5,5,5,5,3,5,5,3,4,"satisfied"
86012,94660,"Male","Loyal Customer",54,"Business travel","Business",1719,4,4,4,4,3,5,4,4,4,4,4,3,4,3,4,28,"satisfied"
17368,88575,"Female","Loyal Customer",69,"Personal Travel","Eco",594,2,3,2,3,5,4,4,5,5,2,5,2,5,3,9,0,"neutral or dissatisfied"
31541,48931,"Female","Loyal Customer",39,"Business travel","Business",89,1,1,1,1,4,5,4,4,4,4,4,3,4,4,0,0,"satisfied"
102536,117863,"Female","Loyal Customer",47,"Business travel","Business",365,1,5,2,2,5,2,1,1,1,1,1,3,1,1,0,0,"neutral or dissatisfied"
59105,107515,"Female","disloyal Customer",24,"Business travel","Eco",838,3,3,3,3,2,3,5,2,3,2,4,3,4,2,18,0,"neutral or dissatisfied"
86604,8667,"Male","disloyal Customer",57,"Business travel","Business",227,5,5,5,4,2,5,2,2,5,5,4,4,4,2,0,0,"satisfied"
40631,43925,"Male","Loyal Customer",64,"Personal Travel","Eco",114,4,1,4,4,4,4,4,4,2,3,3,1,4,4,0,0,"neutral or dissatisfied"
96110,7442,"Female","Loyal Customer",45,"Personal Travel","Eco",552,3,1,3,4,4,5,5,5,5,3,5,4,5,5,0,0,"neutral or dissatisfied"
43203,86177,"Male","disloyal Customer",39,"Business travel","Business",356,3,2,2,2,2,2,1,2,3,4,3,1,2,2,0,0,"neutral or dissatisfied"
37543,57074,"Female","Loyal Customer",69,"Personal Travel","Eco",2065,2,5,2,1,5,4,4,1,1,2,1,4,1,4,50,42,"neutral or dissatisfied"
99288,97730,"Male","Loyal Customer",60,"Business travel","Business",587,2,2,2,2,2,5,4,5,5,5,5,4,5,4,0,2,"satisfied"
84426,13061,"Male","Loyal Customer",39,"Business travel","Business",1641,1,1,1,1,4,1,1,5,5,5,5,1,5,4,0,0,"satisfied"
76819,26541,"Female","Loyal Customer",42,"Personal Travel","Eco",990,1,4,1,4,2,4,4,1,1,1,1,4,1,5,0,0,"neutral or dissatisfied"
82114,81506,"Female","disloyal Customer",22,"Business travel","Eco",528,3,0,4,1,1,4,1,1,5,4,5,4,5,1,0,0,"neutral or dissatisfied"
44195,98349,"Male","Loyal Customer",54,"Business travel","Business",2846,5,5,3,5,5,5,4,4,4,5,4,4,4,5,0,0,"satisfied"
92336,121353,"Female","Loyal Customer",36,"Personal Travel","Eco",430,4,4,4,2,2,4,1,2,3,2,4,5,4,2,0,0,"neutral or dissatisfied"
44982,101369,"Female","Loyal Customer",29,"Personal Travel","Eco",1986,2,3,2,4,2,2,2,4,2,3,3,2,3,2,176,170,"neutral or dissatisfied"
91437,25075,"Male","Loyal Customer",47,"Business travel","Eco",957,3,3,3,3,3,3,3,3,2,1,3,1,4,3,83,73,"neutral or dissatisfied"
36716,88920,"Male","Loyal Customer",9,"Personal Travel","Eco",859,3,5,4,2,4,4,4,4,4,2,4,3,5,4,0,0,"neutral or dissatisfied"
28077,5173,"Female","Loyal Customer",42,"Personal Travel","Business",351,2,3,2,2,2,3,3,1,3,3,2,3,3,3,692,702,"neutral or dissatisfied"
69368,126417,"Male","Loyal Customer",41,"Business travel","Business",2265,5,5,2,5,2,4,4,5,5,5,5,4,5,4,0,0,"satisfied"
91563,109287,"Male","Loyal Customer",57,"Business travel","Business",3463,1,1,1,1,2,4,4,4,4,4,4,4,4,3,0,0,"satisfied"
43405,102929,"Female","Loyal Customer",33,"Personal Travel","Eco",317,3,4,3,2,4,3,4,4,5,3,1,1,1,4,0,0,"neutral or dissatisfied"
41487,9255,"Male","Loyal Customer",28,"Personal Travel","Eco",177,2,4,2,1,2,2,5,2,5,4,5,4,4,2,0,0,"neutral or dissatisfied"
47484,67821,"Female","disloyal Customer",36,"Business travel","Eco",771,2,2,2,1,3,2,3,3,4,3,2,3,2,3,12,14,"neutral or dissatisfied"
63527,89826,"Male","Loyal Customer",20,"Personal Travel","Eco Plus",950,4,2,3,3,4,3,4,4,3,3,3,3,3,4,0,0,"neutral or dissatisfied"
14535,50528,"Male","Loyal Customer",39,"Personal Travel","Eco",250,5,4,5,4,1,5,1,1,4,5,4,3,5,1,0,0,"satisfied"
83068,52,"Female","disloyal Customer",20,"Business travel","Eco",67,4,0,4,1,5,4,5,5,4,5,5,3,4,5,2,10,"neutral or dissatisfied"
51464,23073,"Male","disloyal Customer",60,"Business travel","Eco",1211,4,4,4,3,1,4,1,1,2,5,1,5,4,1,5,0,"neutral or dissatisfied"
26502,8076,"Female","Loyal Customer",58,"Business travel","Business",125,4,4,4,4,3,4,5,4,4,4,4,3,4,4,0,0,"satisfied"
103318,112045,"Female","disloyal Customer",25,"Business travel","Eco",1015,3,3,3,4,3,3,3,3,5,2,4,2,5,3,0,0,"neutral or dissatisfied"
88298,47696,"Male","Loyal Customer",40,"Personal Travel","Eco",715,4,5,4,3,3,4,3,3,2,5,5,5,2,3,0,6,"neutral or dissatisfied"
32952,63359,"Male","Loyal Customer",44,"Personal Travel","Eco",337,2,4,2,4,4,2,4,4,3,3,5,4,4,4,4,0,"neutral or dissatisfied"
412,18473,"Female","Loyal Customer",38,"Business travel","Business",285,5,5,5,5,1,1,3,4,4,4,4,5,4,5,0,0,"satisfied"
10761,76351,"Female","Loyal Customer",60,"Business travel","Business",1851,5,5,5,5,5,3,4,5,5,5,5,3,5,3,75,46,"satisfied"
48181,102750,"Male","Loyal Customer",44,"Business travel","Business",2335,5,5,5,5,2,4,4,4,4,4,4,4,4,3,6,0,"satisfied"
30570,58994,"Male","Loyal Customer",56,"Business travel","Business",1726,3,3,3,3,3,4,4,4,4,4,4,5,4,4,6,0,"satisfied"
42520,48012,"Female","Loyal Customer",27,"Personal Travel","Eco Plus",550,3,4,3,4,4,3,4,4,4,4,3,4,5,4,6,0,"neutral or dissatisfied"
74521,3461,"Female","Loyal Customer",57,"Business travel","Eco Plus",213,3,2,2,2,1,4,4,3,3,3,3,1,3,3,36,78,"neutral or dissatisfied"
14744,63498,"Female","disloyal Customer",24,"Business travel","Business",1208,4,4,4,2,4,4,4,4,3,2,4,4,5,4,0,0,"satisfied"
25945,82012,"Female","disloyal Customer",26,"Business travel","Eco",1135,3,3,3,1,4,3,2,4,3,1,1,1,2,4,0,0,"neutral or dissatisfied"
80339,75119,"Female","disloyal Customer",25,"Business travel","Business",1846,2,5,2,1,1,2,1,1,4,3,4,5,4,1,1,0,"neutral or dissatisfied"
43927,92194,"Male","Loyal Customer",55,"Business travel","Business",2079,1,1,1,1,5,2,3,1,1,1,1,4,1,3,0,0,"neutral or dissatisfied"
6600,2401,"Female","disloyal Customer",26,"Business travel","Business",767,1,5,1,4,1,1,1,1,5,2,5,5,5,1,8,15,"neutral or dissatisfied"
57700,53047,"Male","Loyal Customer",57,"Personal Travel","Eco",1190,3,5,3,1,5,3,5,5,3,4,4,4,4,5,33,49,"neutral or dissatisfied"
53517,65633,"Female","Loyal Customer",45,"Personal Travel","Eco",237,2,1,2,2,1,2,2,2,2,2,2,4,2,3,24,24,"neutral or dissatisfied"
72325,109033,"Female","Loyal Customer",72,"Business travel","Business",957,4,1,1,1,1,3,3,4,4,4,4,3,4,1,0,0,"neutral or dissatisfied"
52352,42374,"Female","Loyal Customer",8,"Personal Travel","Eco",726,2,5,2,4,1,2,1,1,4,3,1,5,5,1,0,0,"neutral or dissatisfied"
66153,13338,"Male","Loyal Customer",36,"Business travel","Eco",748,4,5,5,5,4,4,4,4,1,3,3,3,3,4,0,0,"satisfied"
47801,26023,"Male","Loyal Customer",55,"Business travel","Business",321,0,0,0,4,5,5,5,5,5,5,5,4,5,4,25,25,"satisfied"
31516,36743,"Female","disloyal Customer",23,"Business travel","Eco",1426,1,1,1,2,1,1,4,4,2,4,5,4,4,4,0,0,"neutral or dissatisfied"
66074,44853,"Female","Loyal Customer",30,"Personal Travel","Eco",413,3,4,3,4,3,3,3,3,4,2,5,5,4,3,17,16,"neutral or dissatisfied"
32262,14902,"Female","Loyal Customer",62,"Personal Travel","Eco",343,3,4,3,5,5,4,5,1,1,3,1,4,1,3,0,0,"neutral or dissatisfied"
95988,72240,"Male","Loyal Customer",56,"Business travel","Business",2771,1,4,4,4,1,4,4,1,1,1,1,1,1,1,68,68,"neutral or dissatisfied"
69160,118052,"Male","Loyal Customer",61,"Business travel","Business",1044,2,3,2,2,5,3,3,2,2,2,2,3,2,3,31,15,"neutral or dissatisfied"
81117,57168,"Female","Loyal Customer",59,"Business travel","Business",2227,5,5,5,5,5,4,4,4,4,4,4,3,4,5,79,43,"satisfied"
56156,126358,"Male","Loyal Customer",58,"Personal Travel","Eco",468,3,3,3,2,2,3,2,2,1,1,2,3,4,2,6,11,"neutral or dissatisfied"
19391,111890,"Male","disloyal Customer",67,"Business travel","Business",228,4,4,4,2,1,4,1,1,1,1,5,2,4,1,0,0,"satisfied"
46136,94518,"Female","Loyal Customer",39,"Business travel","Business",2336,5,5,5,5,3,4,4,5,5,5,5,5,5,4,0,0,"satisfied"
67746,111189,"Male","disloyal Customer",22,"Business travel","Eco",1142,2,2,2,3,4,2,4,4,3,5,5,3,4,4,6,0,"neutral or dissatisfied"
2285,74071,"Female","disloyal Customer",22,"Business travel","Business",641,4,0,4,2,3,4,3,3,3,3,5,3,4,3,0,0,"satisfied"
59969,15225,"Male","disloyal Customer",22,"Business travel","Eco",529,4,1,4,2,5,4,5,5,5,2,3,1,5,5,31,7,"satisfied"
84297,89487,"Male","Loyal Customer",15,"Business travel","Business",1931,2,2,2,2,2,2,2,2,3,1,2,3,3,2,0,6,"neutral or dissatisfied"
54660,116127,"Female","Loyal Customer",63,"Personal Travel","Eco",308,2,3,2,4,5,5,4,5,5,2,5,2,5,3,0,0,"neutral or dissatisfied"
32280,12689,"Female","Loyal Customer",22,"Business travel","Business",803,5,5,5,5,5,5,5,5,1,5,1,2,5,5,0,0,"satisfied"
64084,29583,"Male","Loyal Customer",28,"Business travel","Business",680,5,5,5,5,1,2,1,1,4,1,3,1,4,1,0,0,"satisfied"
7825,65282,"Female","Loyal Customer",18,"Personal Travel","Eco Plus",247,4,3,4,2,2,4,5,2,3,3,2,3,2,2,21,13,"neutral or dissatisfied"
80286,28842,"Male","Loyal Customer",38,"Business travel","Eco",679,4,3,5,5,4,4,4,4,1,1,1,2,4,4,0,0,"satisfied"
89798,89452,"Female","Loyal Customer",41,"Personal Travel","Eco",134,1,0,1,4,1,1,2,1,1,1,5,5,2,1,0,10,"neutral or dissatisfied"
25448,47193,"Male","disloyal Customer",36,"Business travel","Eco",565,3,0,3,3,4,3,1,4,3,5,3,2,1,4,0,0,"neutral or dissatisfied"
63404,59637,"Male","Loyal Customer",52,"Business travel","Business",787,3,3,3,3,2,4,5,5,5,5,5,5,5,5,0,0,"satisfied"
76222,57786,"Male","Loyal Customer",46,"Personal Travel","Eco",2611,2,5,3,2,3,4,4,1,4,5,1,4,5,4,1,0,"neutral or dissatisfied"
64615,88450,"Male","Loyal Customer",42,"Business travel","Eco",240,3,5,5,5,3,3,3,3,3,2,3,2,3,3,0,0,"neutral or dissatisfied"
27454,83423,"Male","Loyal Customer",19,"Personal Travel","Eco",632,2,4,2,3,2,2,2,2,3,2,5,3,5,2,0,0,"neutral or dissatisfied"
54739,11842,"Female","Loyal Customer",41,"Business travel","Business",1091,3,3,1,3,3,4,4,3,3,4,3,3,3,4,0,0,"satisfied"
78172,41384,"Male","Loyal Customer",34,"Business travel","Business",809,5,5,5,5,5,3,3,5,5,5,5,5,5,4,13,7,"satisfied"
20192,110978,"Male","Loyal Customer",47,"Business travel","Business",197,3,3,3,3,5,4,4,5,5,5,5,5,5,5,0,0,"satisfied"
66700,90894,"Male","Loyal Customer",57,"Business travel","Eco",406,2,4,2,2,3,2,3,3,3,3,3,1,3,3,0,0,"neutral or dissatisfied"
97200,122527,"Male","disloyal Customer",52,"Business travel","Business",500,5,5,5,1,5,5,4,5,5,5,4,3,5,5,12,0,"satisfied"
22466,108369,"Female","Loyal Customer",33,"Personal Travel","Eco",1750,2,5,2,3,5,2,5,5,3,4,1,1,4,5,18,19,"neutral or dissatisfied"
95361,64,"Male","Loyal Customer",56,"Business travel","Business",173,1,1,1,1,5,5,4,3,3,4,5,5,3,5,0,3,"satisfied"
63166,76999,"Female","Loyal Customer",39,"Business travel","Business",3012,2,2,2,2,3,4,5,5,5,5,5,5,5,3,0,0,"satisfied"
79224,20536,"Male","Loyal Customer",38,"Business travel","Business",533,3,3,3,3,1,1,4,4,4,4,4,1,4,4,0,0,"satisfied"
63657,64147,"Male","Loyal Customer",49,"Business travel","Business",3256,4,4,4,4,2,4,4,5,5,5,5,5,5,3,21,0,"satisfied"
49861,77497,"Female","disloyal Customer",25,"Business travel","Eco",589,3,1,3,3,1,3,1,1,1,3,3,1,3,1,0,0,"neutral or dissatisfied"
84031,55981,"Male","Loyal Customer",20,"Personal Travel","Eco",1620,2,3,1,3,5,1,5,5,1,3,3,1,3,5,0,0,"neutral or dissatisfied"
79330,117240,"Female","Loyal Customer",51,"Personal Travel","Eco",304,4,3,5,3,3,1,2,3,3,5,3,3,3,1,1,0,"neutral or dissatisfied"
84954,60623,"Female","Loyal Customer",46,"Personal Travel","Eco",1201,4,2,5,3,5,2,3,1,1,5,1,4,1,3,0,0,"neutral or dissatisfied"
51490,123243,"Female","Loyal Customer",32,"Personal Travel","Eco",590,2,4,1,4,5,1,5,5,5,4,4,3,4,5,0,3,"neutral or dissatisfied"
15702,22068,"Female","Loyal Customer",25,"Personal Travel","Eco",304,4,1,4,4,1,4,1,1,4,4,3,3,3,1,80,69,"neutral or dissatisfied"
6622,108587,"Male","Loyal Customer",53,"Business travel","Business",2149,4,3,4,4,3,4,5,4,4,4,4,4,4,3,0,0,"satisfied"
8982,11889,"Male","Loyal Customer",48,"Business travel","Business",3020,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,0,"satisfied"
37768,127098,"Female","Loyal Customer",34,"Business travel","Business",2836,1,1,1,1,2,4,4,4,4,4,4,3,4,5,0,0,"satisfied"
29478,37790,"Female","disloyal Customer",19,"Business travel","Eco",1102,3,3,3,3,2,3,5,2,1,5,4,1,3,2,25,15,"neutral or dissatisfied"
70942,64449,"Female","Loyal Customer",42,"Business travel","Eco",589,1,3,3,3,5,3,4,1,1,1,1,2,1,1,0,18,"neutral or dissatisfied"
98169,71049,"Male","disloyal Customer",34,"Business travel","Eco",802,2,2,2,4,1,2,1,1,4,3,4,1,4,1,98,112,"neutral or dissatisfied"
78120,89181,"Male","Loyal Customer",55,"Personal Travel","Eco",2139,1,3,1,3,1,1,1,1,2,5,3,4,4,1,11,0,"neutral or dissatisfied"
86620,51970,"Female","disloyal Customer",37,"Business travel","Eco",347,4,0,4,2,2,4,1,2,3,5,3,3,4,2,0,0,"neutral or dissatisfied"
1834,109374,"Female","disloyal Customer",25,"Business travel","Eco",1189,3,3,3,4,4,3,4,4,3,4,4,1,4,4,31,29,"neutral or dissatisfied"
42220,56993,"Female","Loyal Customer",19,"Personal Travel","Eco",2454,1,3,1,2,1,3,3,2,5,3,3,3,4,3,0,10,"neutral or dissatisfied"
21098,40292,"Female","Loyal Customer",21,"Personal Travel","Eco",531,1,4,1,3,3,1,4,3,4,4,4,3,3,3,0,0,"neutral or dissatisfied"
41042,102834,"Female","Loyal Customer",46,"Business travel","Business",3093,4,4,4,4,3,5,4,4,4,4,4,3,4,4,2,2,"satisfied"
90977,86094,"Male","Loyal Customer",59,"Business travel","Business",226,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0,"satisfied"
56528,5460,"Female","Loyal Customer",57,"Personal Travel","Eco",265,3,5,3,1,4,5,1,5,5,3,5,2,5,5,0,0,"neutral or dissatisfied"
36939,43710,"Male","Loyal Customer",36,"Personal Travel","Eco",489,5,3,5,4,3,5,3,3,3,1,4,1,4,3,0,3,"satisfied"
97454,70246,"Female","Loyal Customer",43,"Business travel","Eco",1592,3,1,5,1,4,4,3,3,3,3,3,3,3,3,0,12,"neutral or dissatisfied"
76098,36533,"Female","Loyal Customer",59,"Business travel","Eco",1249,2,1,5,1,3,4,3,2,2,2,2,2,2,1,5,0,"satisfied"
38264,1446,"Female","Loyal Customer",30,"Business travel","Business",772,1,1,4,1,5,4,5,5,4,4,5,3,5,5,6,0,"satisfied"
76383,67144,"Male","Loyal Customer",44,"Business travel","Eco",564,5,5,5,5,5,5,5,5,3,3,1,5,1,5,79,53,"satisfied"
